time,count,relation,value,units,text_value,comments
AUC(0 to 4 hrs),5,<=,4,hr,,
up to 10 mins,5,<=,0.166666667,hr,,
AUC(0 to 12 hrs),5,<=,12,hr,,
0 to 120 min,5,<=,2,hr,,
0.25 to 6 hrs,5,0,,hr,0.25 - 6,
0-8 ,5,,,,,ignore
0.16 to 8 hrs,5,0,,hr,0.16 - 8,
AUC (0-24)hrs,4,<=,24,hr,,
AUC (0 to12 hrs),4,<=,12,hr,,
AUC (0 to 144 hrs),4,<=,144,hr,,
0 to 48 hrs,4,<=,48,hr,,
0-2 h,4,<=,2,hr,,
0-168h,4,<=,168,hr,,
0.0833 to 120 hrs,4,0,,hr,0.083 - 120,
0-96h,4,<=,96,hr,,
AUCtau,4,,,,,ignore
after 60 mins,4,<=,1,hr,,
0.083 to 6 hrs,4,0,,hr,0.083 - 6,
after 6 hr,4,<=,6,hr,,
AUC (0 to 24),4,<=,24,hr,,
0 to 90 mins,4,<=,1.5,hr,,
AUC (0 to 24hrs),4,<=,24,hr,,
AUC (0 to 12),4,<=,12,hr,,
after 2 mins to 24 hrs,4,0,,hr,0.033 - 24,
AUC (1 to 5 hrs),4,0,,hr,1 - 5,
upto 72 hrs,4,<=,72,hr,,
AUC (12 hrs),4,<=,12,hr,,
up to 90 min,4,<=,1.5,hr,,
up to 480 mins,4,<=,8,hr,,
0.5 to 8 hrs,4,0,,hr,0.5 - 8,
AUC (5 to 24 hrs),4,0,,hr,5 - 24,
0.25 to 144 hrs,3,0,,hr,0.25 - 144,
0.25 to 4 hrs,3,0,,hr,0.25 - 4,
AUC (0 to 25 hrs),3,<=,25,hr,,
0 to 60 mins,3,<=,1,hr,,
after 5 mins to 12 hrs,3,0,,hr,0.083 - 12,
after 5 mins to 14 hrs,3,0,,hr,0.083 - 14,
0 to 10.5 hrs,3,<=,10.5,hr,,
0 to 12 hrs,3,<=,12,hr,,
0.8 to 8 hrs,3,0,,hr,0.8 - 8,
at 0 hr,3,,,,,ignore
0 to 180 mins,3,<=,3,hr,,
0 to 2 hrs,3,<=,2,hr,,
up to 15 mins,3,<=,0.25,hr,,
0 to 42 days,3,<=,1008,hr,,
at 4 hr,3,<=,4,hr,,
0 to 4.5 hrs,3,<=,4.5,hr,,
at 6 hr,3,<=,6,hr,,
AUC (0 to 18 hrs),3,<=,18,hr,,
after 15 mins to 4 hrs,3,0,,hr,0.25 - 4,
up to 120 mins,3,<=,2,hr,,
AUC (0 to 14 hrs),3,<=,14,hr,,
total AUC,3,0,,,AUCmax,
from zero time to 24 hr,3,<=,24,hr,,
AUCtot,3,0,,,AUCmax,
0-4hr,3,<=,4,hr,,
after 10 hrs,3,<=,10,hr,,
0-3 h,3,<=,3,hr,,
AUC (0 to 9 hrs),3,<=,9,hr,,
0-48 hr,3,<=,48,hr,,
